"n","film","revenue","budget","language","popularity","vote.average","vote.count","release.date","genre","certification","genre_txt","year","lustrum","decade","log_budget","log_rev","id"
"65","The Big Boss",0,1e+05,"zh",10533,7.3,328,"1971-10-02",28,"R","Action",1971,"70-74","70-79",5,1,"12481"
"66","The Last Picture Show",29133000,1300000,"en",5834,7.8,293,"1971-10-03",18,"R","Drama",1971,"70-74","70-79",6.11394335230684,7.4643852088419,"25188"
"67","Bedknobs and Broomsticks",17900000,2e+07,"en",8705,7,581,"1971-10-07",12,"G","Adventure",1971,"70-74","70-79",7.30102999566398,7.25285303097989,"12335"
"68","The French Connection",41158757,1800000,"en",9.32,7.6,879,"1971-10-09",28,"R","Action",1971,"70-74","70-79",6.25527250510331,7.61446225053665,"1051"
"69","Duck You Sucker",0,0,"it",8123,7.8,495,"1971-10-20",37,NA,"Western",1971,"70-74","70-79",1,1,"336"
"70","Trinity Is Still My Name",2100000,0,"it",12142,7.5,462,"1971-10-21",35,"PG","Comedy",1971,"70-74","70-79",1,6.32221929473392,"11829"
"71","Play Misty for Me",10600000,725000,"en",7534,6.7,187,"1971-11-03",80,"R","Crime",1971,"70-74","70-79",5.86033800657099,7.02530586526477,"15393"
"72","Fiddler on the Roof",83304330,9e+06,"en",6933,7.7,257,"1971-11-03",18,"G","Drama",1971,"70-74","70-79",6.95424250943933,7.92066757579134,"14811"
"73","Diamonds Are Forever",116019547,7200000,"en",15988,6.4,1065,"1971-12-13",28,"PG","Action",1971,"70-74","70-79",6.85733249643127,8.0645311654258,"681"
"74","Four Flies on Grey Velvet",0,0,"it",4719,6.5,160,"1971-12-17",80,NA,"Crime",1971,"70-74","70-79",1,1,"30689"
"75","A Clockwork Orange",26589000,2200000,"en",17707,8.2,7821,"1971-12-18",18,"R","Drama",1971,"70-74","70-79",6.34242268082221,7.42470200402398,"185"
"76","Harold and Maude",0,1200000,"en",10079,7.7,539,"1971-12-20",35,"PG","Comedy",1971,"70-74","70-79",6.07918124604763,1,"343"
"77","Macbeth",0,3100000,"en",6983,6.9,138,"1971-12-20",10752,"R","War",1971,"70-74","70-79",6.49136169383427,1,"11316"
"78","Dirty Harry",35976000,1e+07,"en",12.41,7.5,1207,"1971-12-21",28,"R","Action",1971,"70-74","70-79",7,7.55601287455989,"984"
"79","Straw Dogs",3251794,2200000,"en",8248,7.2,461,"1971-12-23",80,"R","Crime",1971,"70-74","70-79",6.34242268082221,6.51212302539159,"994"
"80","Duel",0,450000,"en",7646,7.4,902,"1971-12-25",28,"PG","Action",1971,"70-74","70-79",5.65321251377534,1,"839"
"81","The Cowboys",7500000,6e+06,"en",5.38,7.1,116,"1972-01-13",28,"PG","Action",1972,"70-74","70-79",6.77815125038364,6.8750612633917,"15573"
"82","Lone Wolf and Cub Sword of Vengeance",0,0,"ja",4907,7.5,79,"1972-01-15",18,NA,"Drama",1972,"70-74","70-79",1,1,"41471"
"83","Cabaret",0,6e+06,"en",8052,7.5,479,"1972-02-13",18,"PG","Drama",1972,"70-74","70-79",6.77815125038364,1,"10784"
"84","Silent Running",0,1e+06,"en",6886,6.3,295,"1972-03-09",12,"G","Adventure",1972,"70-74","70-79",6,1,"811"
"85","Tales from the Crypt",0,0,"en",6457,6.9,114,"1972-03-09",27,"PG","Horror",1972,"70-74","70-79",1,1,"38939"
"86","Whats Up Doc",6.6e+07,4e+06,"en",5659,7.3,141,"1972-03-09",35,"G","Comedy",1972,"70-74","70-79",6.60205999132796,7.81954393554187,"6949"
"87","Pink Flamingos",6e+06,12000,"en",6.61,6.5,233,"1972-03-12",35,"NC-17","Comedy",1972,"70-74","70-79",4.07918124604763,6.77815125038364,"692"
"88","The Godfather",245066411,6e+06,"en",24264,8.7,11521,"1972-03-14",80,"R","Crime",1972,"70-74","70-79",6.77815125038364,8.3892837905789,"238"
"89","Solaris",0,0,"ru",11517,7.9,774,"1972-03-20",18,"PG","Drama",1972,"70-74","70-79",1,1,"593"
"90","Fist of Fury",0,1e+07,"zh",10.84,7.3,419,"1972-03-22",18,"R","Drama",1972,"70-74","70-79",7,1,"11713"
"91","Fritz the Cat",1e+08,850000,"en",11562,6.2,133,"1972-04-12",16,"NC-17","Animation",1972,"70-74","70-79",5.92941892571429,8,"12593"
"92","Play It Again Sam",0,0,"en",5583,7.6,309,"1972-05-04",35,"PG","Comedy",1972,"70-74","70-79",1,1,"11610"
"93","Frenzy",12600000,3500000,"en",7.15,7.1,378,"1972-05-25",80,"R","Crime",1972,"70-74","70-79",6.54406804435028,7.10037054511756,"573"
