film;revenue;budget;language;popularity;vote average;vote count;log_budget;log_revenue;id;tagline;release date;genre;certification;genre_txt;year;lustrum;decade
Chisum;0;6,00E+06;en;5643;6.8;86;6,77815125;1;38765;THE LEGEND - John Wayne is 'Chisum';23/07/1970;37;G;Western;1970;70-74;70-79
Performance;0;0;en;6538;7.1;82;1;1;26606;See them all in a film about fantasy. And reality. Vice. And versa.;3/08/1970;80;R;Crime;1970;70-74;70-79
Soldier Blue;0;0;en;5597;7.3;85;1;1;14384;The most savage film in history!;12/08/1970;37;R;Western;1970;70-74;70-79
Five Easy Pieces;18099091;0;en;8867;7.3;230;1;7,257656764;26617;He rode the fast lane on the road to nowhere.;12/09/1970;18;R;Drama;1970;70-74;70-79
The Vampire Lovers;0;0;en;5591;6.5;70;1;1;31952;An erotic nightmare of tormented lusts that throb in headless, undead bodies!;4/10/1970;27;R;Horror;1970;70-74;70-79
Valerie and Her Week of Wonders;0;0;cs;7505;6.9;107;1;1;46315;NA;10/10/1970;14;NA;Fantasy;1970;70-74;70-79
Le Cercle Rouge;0;0;fr;5918;7.7;279;1;1;11657;No place to hide .¬†.¬†. nowhere to run .¬†.¬†.;19/10/1970;18;NA;Drama;1970;70-74;70-79
The Conformist;0;750000;it;6126;7.8;301;5,875061263;1;8416;A dazzling movie;21/10/1970;18;R;Drama;1970;70-74;70-79
The Private Life of Sherlock Holmes;1500000;1,00E+07;en;5439;7;135;7;6,176091259;5185;The Private Life of Sherlock Holmes. Anything But Elementary.;29/10/1970;12;PG-13;Adventure;1970;70-74;70-79
Investigation of a Citizen Above Suspicion;0;0;it;7671;8.3;303;1;1;26451;When you're a big man in the big city, can you get away with murder?;13/11/1970;80;NA;Crime;1970;70-74;70-79
Gimme Shelter;252570;0;en;5677;7.6;72;1;5,402381764;132;The music that thrilled the world ... and the killing that stunned it!;6/12/1970;99;NA;Documentary;1970;70-74;70-79
Claire's Knee;0;0;fr;5467;7.4;90;1;1;2860;NA;11/12/1970;18;R;Drama;1970;70-74;70-79
Little Big Man;31559552;1.5e+07;en;5943;7.7;280;#°VALOR!;7,49913083;11040;Either the most neglected hero in history or a liar of insane proportion!;14/12/1970;12;PG-13;Adventure;1970;70-74;70-79
Love Story;136400000;2200000;en;7908;6.7;322;6,342422681;8,13481437;9062;Love means never having to say you're sorry;16/12/1970;18;PG;Drama;1970;70-74;70-79
El Topo;0;4,00E+05;es;6132;7.3;276;5,602059991;1;13041;The Definitive Cult Spaghetti Western;18/12/1970;28;NR;Action;1970;70-74;70-79
Donkey Skin;0;0;fr;6416;7.3;219;1;1;5590;NA;20/12/1970;35;NA;Comedy;1970;70-74;70-79
They Call Me Trinity;0;0;it;10699;7.6;673;1;1;9394;Look out! Here comes Trinity...;22/12/1970;28;G;Action;1970;70-74;70-79
The Aristocats;55675257;4,00E+06;en;16669;7.3;3180;6,602059991;7,74566223;10112;A tune-filled animated extravaganza.;23/12/1970;12;G;Adventure;1970;70-74;70-79
The Decameron;0;0;it;9883;7.1;134;1;1;33583;Ribaldry! Rakes and libertines. Raised skirts and lowered lashes. A blush on every cheek. Pasolini. Filming The Decameron. Bringing life to art...and art to life.;1/01/1971;35;R;Comedy;1971;70-74;70-79
Vanishing Point;72266306;1300000;en;5698;7.2;224;6,113943352;7,858935856;11951;It's the maximum trip... at maximum speed.;15/01/1971;28;R;Action;1971;70-74;70-79
The Cat o' Nine Tails;1204739;1,00E+06;it;6304;6.7;175;6;6,08089297;27431;Caught between the truth and a murderer's hand!;12/02/1971;27;NA;Horror;1971;70-74;70-79
Death in Venice;0;2;it;5512;7.3;196;0,301029996;1;6619;The celebrated story of a man obsessed by ideal beauty;1/03/1971;18;NA;Drama;1971;70-74;70-79
Get Carter;0;1814462;en;6462;7.1;220;6,258747877;1;1485;NA;3/03/1971;80;R;Crime;1971;70-74;70-79
THX 1138;2437000;777000;en;8202;6.6;475;5,890421019;6,386855529;636;Visit the future where love is the ultimate crime.;11/03/1971;18;R;Drama;1971;70-74;70-79
The Andromeda Strain;12376563;6500000;en;8.73;7;325;6,812913357;7,092600057;10514;NA;12/03/1971;878;G;Science Fiction;1971;70-74;70-79
The Beguiled;0;0;en;5745;7.1;201;1;1;31906;One man...seven women...in a strange house!;31/03/1971;18;R;Drama;1971;70-74;70-79
Delusions of Grandeur;0;0;fr;6835;7.6;358;1;1;14257;NA;1/04/1971;35;PG;Comedy;1971;70-74;70-79
Murmur of the Heart;0;0;fr;9086;7.1;65;1;1;42501;A souffle of a movie!;27/04/1971;35;PG;Comedy;1971;70-74;70-79
Bananas;11833696;2,00E+06;en;5112;6.7;377;6,301029996;7,073120408;11302;NA;28/04/1971;35;PG-13;Comedy;1971;70-74;70-79
Escape from the Planet of the Apes;12348905;2500000;en;6922;6.4;505;6,397940009;7,09162845;1687;Meet baby Milo who has Washington terrified.;20/05/1971;28;G;Action;1971;70-74;70-79
Big Jake;0;0;en;6533;7;98;1;1;21717;They wanted gold. They gave them lead instead!;26/05/1971;37;PG-13;Western;1971;70-74;70-79
The Panic in Needle Park;0;1645000;en;6227;6.8;142;6,216165902;1;27554;God help Bobby and Helen, they're in love in Needle Park;1/06/1971;18;R;Drama;1971;70-74;70-79
Klute;12512637;2500000;en;8451;6.8;161;6,397940009;7,097348846;466;You'd never take her for a call girl. You'd never take him for a cop.;23/06/1971;9648;R;Mystery;1971;70-74;70-79
Le Mans;0;0;en;6078;7;99;1;1;5920;Steve McQueen takes you for a drive in the country. The country is France. The drive is at 200 MPH!;23/06/1971;28;G;Action;1971;70-74;70-79
McCabe & Mrs. Miller;0;0;en;7295;7.2;184;1;1;29005;Name your poison;24/06/1971;37;R;Western;1971;70-74;70-79
Willy Wonka & the Chocolate Factory;4,00E+06;3,00E+06;en;13982;7.5;1887;6,477121255;6,602059991;252;It's Scrumdidilyumptious!;29/06/1971;35;G;Comedy;1971;70-74;70-79
The Devils;0;0;en;6271;7.6;165;1;1;31767;Hell holds no surprises for them.;1/07/1971;18;R;Drama;1971;70-74;70-79
Two-Lane Blacktop;0;850000;en;7574;7;110;5,929418926;1;27236;You can never go fast enough...;7/07/1971;18;R;Drama;1971;70-74;70-79
The Omega Man;0;0;en;8933;6.2;259;1;1;11234;The World Is Dead. One Survivor. Then The Others. Crawling In Darkness. The Strangest Sect Of All. *Hunting The Last Man On Earth.*;1/08/1971;28;PG;Action;1971;70-74;70-79
A Bay of Blood;0;0;it;6723;6.6;160;1;1;5486;They came to play, they stayed to die.;8/09/1971;27;NA;Horror;1971;70-74;70-79
Red Sun;0;0;fr;6836;6.9;103;1;1;11842;The greatest fighting machine the West has ever known.;15/09/1971;37;PG;Western;1971;70-74;70-79
And Now for Something Completely Different;7000;1,00E+05;en;5836;7.3;272;5;3,84509804;9267;If the Motion Picture Industry dies‚Ä¶ Monty Python killed it!;28/09/1971;35;PG;Comedy;1971;70-74;70-79
The Big Boss;0;1,00E+05;zh;10533;7.3;328;5;1;12481;Every limb of his body is a lethal weapon!!!;2/10/1971;28;R;Action;1971;70-74;70-79
The Last Picture Show;29133000;1300000;en;5834;7.8;293;6,113943352;7,464385209;25188;Anarene, Texas, 1951. Nothing much has changed‚Ä¶;3/10/1971;18;R;Drama;1971;70-74;70-79
Bedknobs and Broomsticks;17900000;2,00E+07;en;8705;7;581;7,301029996;7,252853031;12335;You'll beWITCHED! You'll beDAZZLED! You'll be swept into a world of enchantment BEYOND ANYTHING BEFORE!;7/10/1971;12;G;Adventure;1971;70-74;70-79
The French Connection;41158757;1800000;en;9.32;7.6;879;6,255272505;7,614462251;1051;There are no rules and no holds barred when Popeye cuts loose!;9/10/1971;28;R;Action;1971;70-74;70-79
Duck, You Sucker;0;0;it;8123;7.8;495;1;1;336;Rod Steiger and James Coburn will blow you apart in;20/10/1971;37;NA;Western;1971;70-74;70-79
Trinity Is Still My Name;2100000;0;it;12142;7.5;462;1;6,322219295;11829;Trinity's back in the saddle again and still horsing around;21/10/1971;35;PG;Comedy;1971;70-74;70-79
Play Misty for Me;10600000;725000;en;7534;6.7;187;5,860338007;7,025305865;15393;The scream you hear may be your own!;3/11/1971;80;R;Crime;1971;70-74;70-79
Fiddler on the Roof;83304330;9,00E+06;en;6933;7.7;257;6,954242509;7,920667576;14811;To Life!;3/11/1971;18;G;Drama;1971;70-74;70-79
Diamonds Are Forever;116019547;7200000;en;15988;6.4;1065;6,857332496;8,064531165;681;The man who made 007 a household number;13/12/1971;28;PG;Action;1971;70-74;70-79
Four Flies on Grey Velvet;0;0;it;4719;6.5;160;1;1;30689;When the flies start to crawl, so will your flesh...;17/12/1971;80;NA;Crime;1971;70-74;70-79
A Clockwork Orange;26589000;2200000;en;17707;8.2;7821;6,342422681;7,424702004;185;Being the adventures of a young man whose principal interests are rape, ultra-violence and Beethoven.;18/12/1971;18;R;Drama;1971;70-74;70-79
Harold and Maude;0;1200000;en;10079;7.7;539;6,079181246;1;343;They were meant to be. But exactly what they were meant to be is not quite clear.;20/12/1971;35;PG;Comedy;1971;70-74;70-79
Macbeth;0;3100000;en;6983;6.9;138;6,491361694;1;11316;NA;20/12/1971;10752;R;War;1971;70-74;70-79
Dirty Harry;35976000;1,00E+07;en;12.41;7.5;1207;7;7,556012875;984;Detective Harry Callahan. He doesn't break murder cases. He smashes them.;21/12/1971;28;R;Action;1971;70-74;70-79
Straw Dogs;3251794;2200000;en;8248;7.2;461;6,342422681;6,512123025;994;Sometimes a man is forced to defend his honor.;23/12/1971;80;R;Crime;1971;70-74;70-79
Duel;0;450000;en;7646;7.4;902;5,653212514;1;839;The most bizarre murder weapon ever used!;25/12/1971;28;PG;Action;1971;70-74;70-79
The Cowboys;7500000;6,00E+06;en;5.38;7.1;116;6,77815125;6,875061263;15573;All they wanted was their chance to be men...and he gave it to them.;13/01/1972;28;PG;Action;1972;70-74;70-79
Lone Wolf and Cub: Sword of Vengeance;0;0;ja;4907;7.5;79;1;1;41471;NA;15/01/1972;18;NA;Drama;1972;70-74;70-79
Cabaret;0;6,00E+06;en;8052;7.5;479;6,77815125;1;10784;Life is a Cabaret;13/02/1972;18;PG;Drama;1972;70-74;70-79
Silent Running;0;1,00E+06;en;6886;6.3;295;6;1;811;Amazing companions on an incredible journey...that journeys beyond imagination!;9/03/1972;12;G;Adventure;1972;70-74;70-79
Tales from the Crypt;0;0;en;6457;6.9;114;1;1;38939;DEATH LIVES in the Vault of Horror!;9/03/1972;27;PG;Horror;1972;70-74;70-79
What's Up, Doc?;6.6e+07;4,00E+06;en;5659;7.3;141;6,602059991;#°VALOR!;6949;A screwball comedy. Remember them?;9/03/1972;35;G;Comedy;1972;70-74;70-79
Pink Flamingos;6,00E+06;12000;en;6.61;6.5;233;4,079181246;6,77815125;692;An exercise in poor taste;12/03/1972;35;NC-17;Comedy;1972;70-74;70-79
The Godfather;245066411;6,00E+06;en;24264;8.7;11521;6,77815125;8,389283791;238;An offer you can't refuse.;14/03/1972;80;R;Crime;1972;70-74;70-79
Solaris;0;0;ru;11517;7.9;774;1;1;593;NA;20/03/1972;18;PG;Drama;1972;70-74;70-79
Fist of Fury;0;1,00E+07;zh;10.84;7.3;419;7;1;11713;Bruce Lee has done the impossible... ...HE'S SURPASSED HIMSELF!!!;22/03/1972;18;R;Drama;1972;70-74;70-79
Fritz the Cat;1,00E+08;850000;en;11562;6.2;133;5,929418926;8;12593;We're not rated X for nothin', baby!;12/04/1972;16;NC-17;Animation;1972;70-74;70-79
Play It Again, Sam;0;0;en;5583;7.6;309;1;1;11610;Here's laughing at you, kid.;4/05/1972;35;PG;Comedy;1972;70-74;70-79
Frenzy;12600000;3500000;en;7.15;7.1;378;6,544068044;7,100370545;573;Just an ordinary necktie used with a deadly new twist.;25/05/1972;80;R;Crime;1972;70-74;70-79
The Way of the Dragon;2.7e+07;130000;cn;10193;7.4;500;5,113943352;#°VALOR!;9462;The Colosseum . . the battleground of Bruce Lee and Chuck Norris.;1/06/1972;28;R;Action;1972;70-74;70-79
Boxcar Bertha;0;6,00E+05;en;5635;6.1;90;5,77815125;1;22784;Life made her an outcast. Love made her an outlaw.;14/06/1972;80;R;Crime;1972;70-74;70-79
Conquest of the Planet of the Apes;9700000;1700000;en;7425;6.2;426;6,230448921;6,986771734;1688;All new! The revolt of the apes. The most awesome spectacle in the annals of science fiction!;29/06/1972;28;PG;Action;1972;70-74;70-79
The Canterbury Tales;0;0;it;5678;6.3;87;1;1;5691;NA;1/07/1972;35;NC-17;Comedy;1972;70-74;70-79
Joe Kidd;6330000;0;en;8927;6.4;155;1;6,80140371;14881;If you're looking for trouble - - - he's JOE KIDD;14/07/1972;37;PG;Western;1972;70-74;70-79
Deliverance;46122355;2,00E+06;en;6938;7.3;830;6,301029996;7,663911474;10669;What did happen on the Cahulawassee River?;30/07/1972;18;R;Drama;1972;70-74;70-79
The Genesis Children;0;0;en;10793;7;3;1;1;47094;NA;1/08/1972;18;NA;Drama;1972;70-74;70-79
Everything You Always Wanted to Know About Sex *But Were Afraid to Ask;18016290;2,00E+06;en;7497;6.6;505;6,301029996;7,255665364;11624;You haven't seen anything until you've seen everything;6/08/1972;35;R;Comedy;1972;70-74;70-79
Blacula;0;5,00E+05;en;4067;5.6;73;5,698970004;1;30566;Blacula! - Dracula's Soul Brother!;25/08/1972;14;PG;Fantasy;1972;70-74;70-79
The Last House on the Left;0;90000;en;7654;6.1;307;4,954242509;1;15516;It rests on 13 acres of earth over the very center of hell...!;30/08/1972;27;R;Horror;1972;70-74;70-79
Jeremiah Johnson;0;0;en;8346;7.4;287;1;1;11943;His Mountain. His Peace. His Great Hunts. His Young Bride. With All That, It Should Have Been Different.;10/09/1972;12;PG;Adventure;1972;70-74;70-79
The Discreet Charm of the Bourgeoisie;0;8,00E+05;fr;7312;7.7;352;5,903089987;1;4593;NA;15/09/1972;35;NA;Comedy;1972;70-74;70-79
The Getaway;58831997;3352254;en;6101;7.1;252;6,525336918;7,76961359;5916;It takes two to make it ‚Ä¶ The big two.;20/09/1972;28;PG;Action;1972;70-74;70-79
Don't Torture a Duckling;0;0;it;5351;7.6;174;1;1;49361;NA;29/09/1972;27;G;Horror;1972;70-74;70-79
Horror Express;0;3,00E+05;en;7706;6.4;119;5,477121255;1;32613;A nightmare of terror travelling aboard the Horror Express!;30/09/1972;27;R;Horror;1972;70-74;70-79
The Bitter Tears of Petra von Kant;0;0;de;5058;7.4;81;1;1;10310;Sex is the ultimate weapon.;5/10/1972;18;NA;Drama;1972;70-74;70-79
The Mechanic;0;0;en;7694;6.9;121;1;1;19403;He has 100 ways to kill... and they all work!;6/10/1972;28;PG;Action;1972;70-74;70-79
Last Tango in Paris;36144000;1250000;it;8442;7.1;631;6,096910013;7,558036214;1643;Bernardo Bertolucci‚Äôs Landmark Film;14/10/1972;18;NC-17;Drama;1972;70-74;70-79
Asylum;0;0;en;5425;6;62;1;1;25993;You have nothing to lose but your mind.;17/11/1972;27;PG;Horror;1972;70-74;70-79
The Tall Blond Man with One Black Shoe;0;0;fr;5725;6.9;201;1;1;12089;NA;6/12/1972;35;NA;Comedy;1972;70-74;70-79
Sleuth;0;0;en;7626;7.7;287;1;1;993;If It Was Murder, Where's the Body?;10/12/1972;80;PG;Crime;1972;70-74;70-79
The Poseidon Adventure;84563118;5,00E+06;en;9794;7.2;460;6,698970004;7,927180988;551;Who will survive-in one of the greatest escape adventures ever!;13/12/1972;28;PG;Action;1972;70-74;70-79
Avanti!;0;0;en;6.45;7;103;1;1;12530;When someone knocks on your door and says permesso?...be careful before you say Avanti!;17/12/1972;35;R;Comedy;1972;70-74;70-79
Cries and Whispers;0;4,00E+05;sv;7828;8;291;5,602059991;1;10238;NA;21/12/1972;18;NA;Drama;1972;70-74;70-79
The Adventures of Pinocchio;0;0;it;5578;7.5;171;1;1;58451;NA;21/12/1972;18;PG;Drama;1972;70-74;70-79
All the Way Boys;0;0;it;6.32;6.7;201;1;1;1721;NA;22/12/1972;28;NA;Action;1972;70-74;70-79
Aguirre, the Wrath of God;0;92000;de;7468;7.6;511;4,963787827;1;2000;A breathtaking journey into the heart of darkness;29/12/1972;12;NA;Adventure;1972;70-74;70-79
Charlotte's Web;5232000;0;en;9216;6.6;203;1;6,718667735;15171;That humble radiant terrific book is now a humble radiant terrific movie.;1/03/1973;16;G;Animation;1973;70-74;70-79
The Long Goodbye;959000;1700000;en;6894;7.5;264;6,230448921;5,981818607;1847;Nothing says goodbye like a bullet‚Ä¶;7/03/1973;53;R;Thriller;1973;70-74;70-79
Malicious;0;0;it;8022;6.3;54;1;1;44741;NA;29/03/1973;35;NA;Comedy;1973;70-74;70-79
High Plains Drifter;15700000;5500000;en;9599;7.5;539;6,740362689;7,195899652;11901;Welcome to Hell;19/04/1973;37;R;Western;1973;70-74;70-79
Soylent Green;3600000;0;en;9064;6.9;583;1;6,556302501;12101;What is the secret of Soylent Green?;19/04/1973;878;PG;Science Fiction;1973;70-74;70-79
The Holy Mountain;0;0;es;7104;7.9;398;1;1;8327;NA;1/05/1973;18;NA;Drama;1973;70-74;70-79
Thriller: A Cruel Picture;0;0;sv;6716;6.6;96;1;1;15018;The movie that has no limits of evil!;1/05/1973;27;R;Horror;1973;70-74;70-79
Paper Moon;30900000;2500000;en;6226;7.9;327;6,397940009;7,489958479;11293;These aren't everyday people and this is no ordinary movie.;9/05/1973;35;PG;Comedy;1973;70-74;70-79
The Day of the Jackal;0;0;en;7577;7.6;263;1;1;4909;Nameless, faceless... relentlessly moving towards the date with death that would rock the world.;15/05/1973;28;PG;Action;1973;70-74;70-79
Pat Garrett & Billy the Kid;1.1e+07;4638783;en;7453;7.2;164;6,666404057;#°VALOR!;11577;Best of enemies. Deadliest of friends.;23/05/1973;37;NA;Western;1973;70-74;70-79
Day for Night;17808;0;fr;6836;7.9;266;1;4,250615147;1675;A movie for people who love movies;24/05/1973;35;NA;Comedy;1973;70-74;70-79
Battle for the Planet of the Apes;8844595;1700000;en;7338;5.7;415;6,230448921;6,946677951;1705;The final chapter in the incredible Apes saga. The most suspenseful showdown ever filmed as two civilizations battle for the right to inherit what's left of the earth!;15/06/1973;28;G;Action;1973;70-74;70-79
Live and Let Die;161777836;7,00E+06;en;14426;6.5;1020;6,84509804;8,208919022;253;Roger Moore is James Bond.;5/07/1973;12;PG;Adventure;1973;70-74;70-79
American Graffiti;1.4e+08;777000;en;8992;7.1;737;5,890421019;#°VALOR!;838;Where were you in '62?;1/08/1973;35;PG;Comedy;1973;70-74;70-79
Jesus Christ Superstar;13200000;0;en;7405;7.1;311;1;7,120573931;12545;And now, the movie......;15/08/1973;18;G;Drama;1973;70-74;70-79
14 and Under;0;0;de;11831;6.4;15;1;1;80295;NA;16/08/1973;35;NA;Comedy;1973;70-74;70-79
Enter the Dragon;0;1,00E+07;en;10819;7.4;926;7;1;9461;Their deadly mission: to crack the forbidden island of Han!;17/08/1973;28;R;Action;1973;70-74;70-79
Ivan Vasilyevich Changes His Profession;0;0;ru;7899;8;159;1;1;20803;NA;17/09/1973;35;NC-17;Comedy;1973;70-74;70-79
Charley Varrick;0;0;en;6132;7.3;107;1;1;27331;When he runs out of dumb luck he always has genius to fall back on!;19/09/1973;80;PG;Crime;1973;70-74;70-79
Mean Streets;3,00E+06;5,00E+05;en;7101;7.2;1051;5,698970004;6,477121255;203;You don't make up for your sins in church. You do it in the streets...;2/10/1973;80;R;Crime;1973;70-74;70-79
Badlands;0;450000;en;8.32;7.6;617;5,653212514;1;3133;In 1959 a lot of people were killing time. Kit and Holly were killing people.;15/10/1973;80;PG;Crime;1973;70-74;70-79
The Mad Adventures of Rabbi Jacob;0;0;fr;8317;7.3;536;1;1;760;NA;17/10/1973;35;NA;Comedy;1973;70-74;70-79
The Way We Were;4.5e+07;0;en;6833;7;225;1;#°VALOR!;10236;Everything seemed so important then .. even love!;17/10/1973;18;PG;Drama;1973;70-74;70-79
Immoral Tales;0;0;fr;6459;5.5;68;1;1;46581;Four Erotic tales that take us back through the centuries.;1/11/1973;18;NC-17;Drama;1973;70-74;70-79
Robin Hood;32056467;1.5e+07;en;14769;7.3;2738;#°VALOR!;7,505915656;11886;Meet Robin Hood and his MERRY MENagerie!;8/11/1973;16;G;Animation;1973;70-74;70-79
Three Wishes for Cinderella;0;580000;cs;7322;7.8;182;5,763427994;1;8703;NA;16/11/1973;12;PG;Adventure;1973;70-74;70-79
Westworld;0;0;en;8741;6.7;682;1;1;2362;Westworld ...where robot men and women are programmed to serve you for ...Romance ...Violence ...Anything;21/11/1973;28;PG-13;Action;1973;70-74;70-79
The Wicker Man;0;658625;en;9008;7.3;607;5,818638212;1;16307;Flesh to touch...Flesh to burn! Don't keep the Wicker Man waiting!;1/12/1973;27;R;Horror;1973;70-74;70-79
Fantastic Planet;0;0;fr;8349;7.7;345;1;1;16306;A sublime trip to a fine new world;1/12/1973;16;PG;Animation;1973;70-74;70-79
Don't Look Now;0;1500000;en;7951;7;421;6,176091259;1;931;Pass the warning.;3/12/1973;18;R;Drama;1973;70-74;70-79
Serpico;29800000;3,00E+06;en;8466;7.6;941;6,477121255;7,474216264;9040;Many of his fellow officers considered him the most dangerous man alive - An honest cop.;5/12/1973;80;R;Crime;1973;70-74;70-79
The Three Musketeers;0;0;en;8395;7;145;1;1;2926;. . . One for All and All for Fun!;11/12/1973;28;PG;Action;1973;70-74;70-79
Papillon;53267000;1.2e+07;en;10653;8;971;#°VALOR!;7,726458238;5924;The greatest adventure of escape!;13/12/1973;80;PG;Crime;1973;70-74;70-79
My Name Is Nobody;0;0;it;8396;7.3;487;1;1;9474;"Nobody, but ""Nobody,"" knows the trouble he's in!";13/12/1973;35;PG;Comedy;1973;70-74;70-79
Amarcord;0;0;it;7515;8;499;1;1;7857;The Fantastic World of Fellini!;13/12/1973;35;NA;Comedy;1973;70-74;70-79
Sleeper;18344729;2,00E+06;en;5223;7.1;438;6,301029996;7,2635113;11561;Woody Allen takes a nostalgic look at the future.;17/12/1973;35;PG;Comedy;1973;70-74;70-79
The Golden Voyage of Sinbad;1.1e+07;0;en;6676;6.6;102;1;#°VALOR!;17897;Dynarama Means Supreme Adventure!;20/12/1973;28;G;Action;1973;70-74;70-79
Magnum Force;39768000;0;en;9586;7.2;502;1;7,59953375;10648;A man's got to know his limitations.;23/12/1973;28;R;Action;1973;70-74;70-79
The Sting;159616327;5500000;en;13632;8.1;1285;6,740362689;8,203077313;9277;...all it takes is a little confidence.;25/12/1973;35;PG;Comedy;1973;70-74;70-79
The Exorcist;441306145;8,00E+06;en;19284;7.6;4464;6,903089987;8,644739975;9552;Something almost beyond comprehension is happening to a girl on this street, in this house‚Ä¶ and a man has been sent for as a last resort. This man is The Exorcist.;26/12/1973;27;R;Horror;1973;70-74;70-79
We All Loved Each Other So Much;0;0;it;8264;8.5;193;1;1;42269;A many splendored thing.;1/01/1974;35;NA;Comedy;1974;70-74;70-79
