"","film","revenue","budget","language","popularity","vote.average","vote.count","id","tagline","release.date","genre","certification","genre_txt","year","lustrum","decade","log_budget","log_rev"
"55","Little Big Man","31559552","1.5e+07","en",5943,7.7,280,"11040","Either the most neglected hero in history or a liar of insane proportion!","14/12/1970",12,"PG-13","Adventure",1970,"70-74","70-79",1.55630250076729,2.89097959698969
"56","Love Story","136400000","2200000","en",7908,6.7,322,"9062","Love means never having to say you're sorry","16/12/1970",18,"PG","Drama",1970,"70-74","70-79",2.10380372095596,2.3654879848909
"57","El Topo","0","4,00E+05","es",6132,7.3,276,"13041","The Definitive Cult Spaghetti Western","18/12/1970",28,"NR","Action",1970,"70-74","70-79",2.2405492482826,0.301029995663981
"58","Donkey Skin","0","0","fr",6416,7.3,219,"5590",NA,"20/12/1970",35,NA,"Comedy",1970,"70-74","70-79",0.301029995663981,0.301029995663981
"59","They Call Me Trinity","0","0","it",10699,7.6,673,"9394","Look out! Here comes Trinity...","22/12/1970",28,"G","Action",1970,"70-74","70-79",0.301029995663981,0.301029995663981
"60","The Aristocats","55675257","4,00E+06","en",16669,7.3,3180,"10112","A tune-filled animated extravaganza.","23/12/1970",12,"G","Adventure",1970,"70-74","70-79",2.24303804868629,3.06929801211553
"61","The Decameron","0","0","it",9883,7.1,134,"33583","Ribaldry! Rakes and libertines. Raised skirts and lowered lashes. A blush on every cheek. Pasolini. Filming The Decameron. Bringing life to art...and art to life.","1/01/1971",35,"R","Comedy",1971,"70-74","70-79",0.301029995663981,0.301029995663981
"62","Vanishing Point","72266306","1300000","en",5698,7.2,224,"11951","It's the maximum trip... at maximum speed.","15/01/1971",28,"R","Action",1971,"70-74","70-79",1.85125834871908,3.12678057701201
"63","The Cat o' Nine Tails","1204739","1,00E+06","it",6304,6.7,175,"27431","Caught between the truth and a murderer's hand!","12/02/1971",27,NA,"Horror",1971,"70-74","70-79",0.602059991327962,2.17318626841227
"64","Death in Venice","0","2","it",5512,7.3,196,"6619","The celebrated story of a man obsessed by ideal beauty","1/03/1971",18,NA,"Drama",1971,"70-74","70-79",1.98677173426624,0.301029995663981
